img_name,gcp_path,person_name,img_path
Zico_0003.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Zico/Zico_0003.jpg,Zico,/home/guilherme/projects/parai/app/data/images/lfw/Zico/Zico_0003.jpg
Wu_Yi_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Wu_Yi/Wu_Yi_0001.jpg,Wu_Yi,/home/guilherme/projects/parai/app/data/images/lfw/Wu_Yi/Wu_Yi_0001.jpg
Juanes_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Juanes/Juanes_0001.jpg,Juanes,/home/guilherme/projects/parai/app/data/images/lfw/Juanes/Juanes_0001.jpg
Al_Gore_0006.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Al_Gore/Al_Gore_0006.jpg,Al_Gore,/home/guilherme/projects/parai/app/data/images/lfw/Al_Gore/Al_Gore_0006.jpg
Al_Gore_0005.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Al_Gore/Al_Gore_0005.jpg,Al_Gore,/home/guilherme/projects/parai/app/data/images/lfw/Al_Gore/Al_Gore_0005.jpg
Jeb_Bush_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Jeb_Bush/Jeb_Bush_0004.jpg,Jeb_Bush,/home/guilherme/projects/parai/app/data/images/lfw/Jeb_Bush/Jeb_Bush_0004.jpg
Jeb_Bush_0005.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Jeb_Bush/Jeb_Bush_0005.jpg,Jeb_Bush,/home/guilherme/projects/parai/app/data/images/lfw/Jeb_Bush/Jeb_Bush_0005.jpg
Jeb_Bush_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Jeb_Bush/Jeb_Bush_0002.jpg,Jeb_Bush,/home/guilherme/projects/parai/app/data/images/lfw/Jeb_Bush/Jeb_Bush_0002.jpg
Lucy_Liu_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Lucy_Liu/Lucy_Liu_0002.jpg,Lucy_Liu,/home/guilherme/projects/parai/app/data/images/lfw/Lucy_Liu/Lucy_Liu_0002.jpg
Lucy_Liu_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Lucy_Liu/Lucy_Liu_0004.jpg,Lucy_Liu,/home/guilherme/projects/parai/app/data/images/lfw/Lucy_Liu/Lucy_Liu_0004.jpg
Rob_Lowe_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Rob_Lowe/Rob_Lowe_0004.jpg,Rob_Lowe,/home/guilherme/projects/parai/app/data/images/lfw/Rob_Lowe/Rob_Lowe_0004.jpg
Win_Aung_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Win_Aung/Win_Aung_0002.jpg,Win_Aung,/home/guilherme/projects/parai/app/data/images/lfw/Win_Aung/Win_Aung_0002.jpg
Yao_Ming_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Yao_Ming/Yao_Ming_0004.jpg,Yao_Ming,/home/guilherme/projects/parai/app/data/images/lfw/Yao_Ming/Yao_Ming_0004.jpg
Yoko_Ono_0006.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Yoko_Ono/Yoko_Ono_0006.jpg,Yoko_Ono,/home/guilherme/projects/parai/app/data/images/lfw/Yoko_Ono/Yoko_Ono_0006.jpg
Ali_Naimi_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ali_Naimi/Ali_Naimi_0001.jpg,Ali_Naimi,/home/guilherme/projects/parai/app/data/images/lfw/Ali_Naimi/Ali_Naimi_0001.jpg
Ali_Naimi_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ali_Naimi/Ali_Naimi_0004.jpg,Ali_Naimi,/home/guilherme/projects/parai/app/data/images/lfw/Ali_Naimi/Ali_Naimi_0004.jpg
Azra_Akin_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Azra_Akin/Azra_Akin_0001.jpg,Azra_Akin,/home/guilherme/projects/parai/app/data/images/lfw/Azra_Akin/Azra_Akin_0001.jpg
Azra_Akin_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Azra_Akin/Azra_Akin_0004.jpg,Azra_Akin,/home/guilherme/projects/parai/app/data/images/lfw/Azra_Akin/Azra_Akin_0004.jpg
Ernie_Els_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ernie_Els/Ernie_Els_0002.jpg,Ernie_Els,/home/guilherme/projects/parai/app/data/images/lfw/Ernie_Els/Ernie_Els_0002.jpg
GL_Peiris_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/GL_Peiris/GL_Peiris_0004.jpg,GL_Peiris,/home/guilherme/projects/parai/app/data/images/lfw/GL_Peiris/GL_Peiris_0004.jpg
Hans_Blix_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Hans_Blix/Hans_Blix_0002.jpg,Hans_Blix,/home/guilherme/projects/parai/app/data/images/lfw/Hans_Blix/Hans_Blix_0002.jpg
Hans_Blix_0032.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Hans_Blix/Hans_Blix_0032.jpg,Hans_Blix,/home/guilherme/projects/parai/app/data/images/lfw/Hans_Blix/Hans_Blix_0032.jpg
Hans_Blix_0027.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Hans_Blix/Hans_Blix_0027.jpg,Hans_Blix,/home/guilherme/projects/parai/app/data/images/lfw/Hans_Blix/Hans_Blix_0027.jpg
