img_name,gcp_path,person_name,img_path,identify_results,top_1_name,top_1_dist
Zico_0003.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Zico/Zico_0003.jpg,Zico,/home/guilherme/projects/parai/app/data/images/lfw/Zico/Zico_0003.jpg,"(['Zico_0001'], [0.35908478097103325])",Zico_0001,0.35908478097103325
Wu_Yi_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Wu_Yi/Wu_Yi_0001.jpg,Wu_Yi,/home/guilherme/projects/parai/app/data/images/lfw/Wu_Yi/Wu_Yi_0001.jpg,"(['Wu_Yi_0002'], [0.3900499058801624])",Wu_Yi_0002,0.3900499058801624
Juanes_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Juanes/Juanes_0001.jpg,Juanes,/home/guilherme/projects/parai/app/data/images/lfw/Juanes/Juanes_0001.jpg,"(['Juanes_0003'], [0.3498539737157639])",Juanes_0003,0.3498539737157639
Al_Gore_0006.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Al_Gore/Al_Gore_0006.jpg,Al_Gore,/home/guilherme/projects/parai/app/data/images/lfw/Al_Gore/Al_Gore_0006.jpg,"(['Dan_Morales_0003'], [0.5689061296700253])",Dan_Morales_0003,0.5689061296700253
Al_Gore_0005.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Al_Gore/Al_Gore_0005.jpg,Al_Gore,/home/guilherme/projects/parai/app/data/images/lfw/Al_Gore/Al_Gore_0005.jpg,"(['Al_Gore_0008'], [0.565260519749274])",Al_Gore_0008,0.565260519749274
Jeb_Bush_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Jeb_Bush/Jeb_Bush_0004.jpg,Jeb_Bush,/home/guilherme/projects/parai/app/data/images/lfw/Jeb_Bush/Jeb_Bush_0004.jpg,"(['Jeb_Bush_0009'], [0.40623332299497217])",Jeb_Bush_0009,0.40623332299497217
Jeb_Bush_0005.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Jeb_Bush/Jeb_Bush_0005.jpg,Jeb_Bush,/home/guilherme/projects/parai/app/data/images/lfw/Jeb_Bush/Jeb_Bush_0005.jpg,"(['Jeb_Bush_0009'], [0.44318763470336336])",Jeb_Bush_0009,0.44318763470336336
Jeb_Bush_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Jeb_Bush/Jeb_Bush_0002.jpg,Jeb_Bush,/home/guilherme/projects/parai/app/data/images/lfw/Jeb_Bush/Jeb_Bush_0002.jpg,"(['Jeb_Bush_0009'], [0.47334863874913397])",Jeb_Bush_0009,0.47334863874913397
Lucy_Liu_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Lucy_Liu/Lucy_Liu_0002.jpg,Lucy_Liu,/home/guilherme/projects/parai/app/data/images/lfw/Lucy_Liu/Lucy_Liu_0002.jpg,"(['Lucy_Liu_0001'], [0.3926298865788247])",Lucy_Liu_0001,0.3926298865788247
Lucy_Liu_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Lucy_Liu/Lucy_Liu_0004.jpg,Lucy_Liu,/home/guilherme/projects/parai/app/data/images/lfw/Lucy_Liu/Lucy_Liu_0004.jpg,"(['Lucy_Liu_0001'], [0.49600265733935756])",Lucy_Liu_0001,0.49600265733935756
Rob_Lowe_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Rob_Lowe/Rob_Lowe_0004.jpg,Rob_Lowe,/home/guilherme/projects/parai/app/data/images/lfw/Rob_Lowe/Rob_Lowe_0004.jpg,"(['Rob_Lowe_0001'], [0.49037120527344297])",Rob_Lowe_0001,0.49037120527344297
Win_Aung_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Win_Aung/Win_Aung_0002.jpg,Win_Aung,/home/guilherme/projects/parai/app/data/images/lfw/Win_Aung/Win_Aung_0002.jpg,"(['Win_Aung_0004'], [0.3390156841028996])",Win_Aung_0004,0.3390156841028996
Yao_Ming_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Yao_Ming/Yao_Ming_0004.jpg,Yao_Ming,/home/guilherme/projects/parai/app/data/images/lfw/Yao_Ming/Yao_Ming_0004.jpg,"(['Yao_Ming_0002', 'James_Maguire_0002'], [0.34253676769326524, 0.5268412304462361])",Yao_Ming_0002,0.34253676769326524
Yoko_Ono_0006.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Yoko_Ono/Yoko_Ono_0006.jpg,Yoko_Ono,/home/guilherme/projects/parai/app/data/images/lfw/Yoko_Ono/Yoko_Ono_0006.jpg,"(['Yoko_Ono_0004'], [0.4168946964236621])",Yoko_Ono_0004,0.4168946964236621
Ali_Naimi_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ali_Naimi/Ali_Naimi_0001.jpg,Ali_Naimi,/home/guilherme/projects/parai/app/data/images/lfw/Ali_Naimi/Ali_Naimi_0001.jpg,"(['Ali_Naimi_0005'], [0.42556550076454047])",Ali_Naimi_0005,0.42556550076454047
Ali_Naimi_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ali_Naimi/Ali_Naimi_0004.jpg,Ali_Naimi,/home/guilherme/projects/parai/app/data/images/lfw/Ali_Naimi/Ali_Naimi_0004.jpg,"(['Ali_Naimi_0005'], [0.41525894820589637])",Ali_Naimi_0005,0.41525894820589637
Azra_Akin_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Azra_Akin/Azra_Akin_0001.jpg,Azra_Akin,/home/guilherme/projects/parai/app/data/images/lfw/Azra_Akin/Azra_Akin_0001.jpg,"(['Azra_Akin_0003'], [0.3464954728575108])",Azra_Akin_0003,0.3464954728575108
Azra_Akin_0004.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Azra_Akin/Azra_Akin_0004.jpg,Azra_Akin,/home/guilherme/projects/parai/app/data/images/lfw/Azra_Akin/Azra_Akin_0004.jpg,"(['Azra_Akin_0003'], [0.423521439343627])",Azra_Akin_0003,0.423521439343627
Ernie_Els_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ernie_Els/Ernie_Els_0002.jpg,Ernie_Els,/home/guilherme/projects/parai/app/data/images/lfw/Ernie_Els/Ernie_Els_0002.jpg,"(['Ernie_Els_0001'], [0.4876142168486855])",Ernie_Els_0001,0.4876142168486855
